"","ID","STRATA","E_km","N_km"
"1",1,"GBK",689.194106056005,4633.3324236648
"2",2,"SNE",-85.6852042888195,4064.85828573377
"3",3,"WGOM",430.497266975547,4557.64025412457
"4",4,"EGOM",565.80560030888,4920.1548374579
"5",5,"WGOM",495.620328991051,4605.02227931837
"6",6,"SNE",204.156580701039,4518.74503353634
"7",7,"SNE",289.272878596344,4484.63098424689
"8",8,"GBK",658.344489197767,4683.81965227272
"9",9,"WGOM",372.104151033518,4717.23744615355
"10",10,"GBK",544.232811193233,4552.18340888648
"11",11,"SNE",-10.0610663577852,4309.72150412456
"12",12,"WGOM",472.666206369486,4510.3548374579
"13",13,"SNE",59.6768646766975,4276.68587194066
"14",14,"SNE",83.6103622136434,4362.08519460076
"15",15,"SNE",178.066711419993,4491.27335597642
"16",16,"SNE",133.912671015952,4343.31544351851
"17",17,"SNE",71.8306003088815,4259.3298374579
"18",18,"SNE",356.640974458542,4544.36708235586
"19",19,"EGOM",502.160555263836,4900.43051313358
"20",20,"SNE",7.23618134863666,4246.06217690745
"21",21,"SNE",-68.4435224981361,4094.02676728246
"22",22,"SNE",59.9389336422147,4396.55007555314
"23",23,"SNE",399.915002018282,4509.44287164594
"24",24,"WGOM",454.358753462033,4517.21880142187
"25",25,"SNE",412.11651984911,4461.31518228549
"26",26,"WGOM",452.348024551304,4721.91847382154
"27",27,"EGOM",622.638032741311,4852.30889151196
"28",28,"WGOM",595.845951186072,4689.50922342281
"29",29,"EGOM",521.924898554493,4873.52676728246
"30",30,"EGOM",547.818212921492,4856.86745007051
"31",31,"SNE",331.413933642215,4555.44714515021
"32",32,"SNE",-20.6248594612335,4301.5048374579
"33",33,"EGOM",566.197266975545,4887.40483745789
"34",34,"WGOM",471.636678003114,4438.06686753308
"35",35,"SNE",371.70257000585,4494.66392836699
"36",36,"SNE",267.648823752106,4463.90318910626
"37",37,"SNE",-50.2186421153611,4089.63867584174
"38",38,"WGOM",448.102425705705,4785.98499618805
"39",39,"SNE",148.382970339463,4334.0805255313
"40",40,"SNE",125.038933642215,4497.14162991073
"41",41,"EGOM",605.01792523885,4825.26324081924
"42",42,"WGOM",503.735514838794,4523.50270070577
"43",43,"GBK",585.833576499355,4463.89769460076
"44",44,"SNE",336.892468995751,4518.12352432659
"45",45,"GBK",723.446496667421,4639.62458535706
"46",46,"EGOM",523.456966429097,4851.52532926117
"47",47,"GBK",561.777028880308,4567.95007555314
"48",48,"WGOM",437.214609317889,4621.20078340385
"49",49,"SNE",374.325970679251,4573.61594856902
"50",50,"SNE",-38.2715926735747,4165.70746903685
"51",51,"SNE",-78.4883390850578,4074.20938291245
"52",52,"SNE",-64.3010663577852,4104.2048374579
"53",53,"WGOM",433.546870150149,4766.23102793408
"54",54,"SNE",-2.04727325433693,4265.46173400963
"55",55,"SNE",389.908933642214,4594.8948374579
"56",56,"WGOM",350.030600308881,4687.13817079123
"57",57,"EGOM",534.2845476773,4825.29869710702
"58",58,"WGOM",461.024914950624,4432.37633278501
"59",59,"GBK",706.002570005848,4656.66392836699
"60",60,"EGOM",609.094489197767,4901.38182158487
"61",61,"SNE",66.5477831997369,4338.98935073224
"62",62,"SNE",295.286681389963,4434.93051313358
"63",63,"WGOM",428.596784881882,4745.89946555707
"64",64,"EGOM",621.412883222044,4883.85147611335
"65",65,"SNE",352.370616810532,4553.3241443886
"66",66,"SNE",72.7424734652235,4292.36988170569
"67",67,"SNE",139.967505070786,4382.54055174362
"68",68,"SNE",374.586552689833,4553.41674221981
"69",69,"SNE",134.710104813386,4499.1467293498
"70",70,"SNE",83.4030113121177,4296.86648794334
"71",71,"GBK",655.46686157014,4531.20078340385
"72",72,"EGOM",612.150044753323,4810.35668930976
"73",73,"WGOM",570.400044753323,4712.32891153198
"74",74,"SNE",290.662827447525,4524.35218259065
"75",75,"WGOM",482.635707835761,4833.50483745789
"76",76,"SNE",-29.189221697591,4137.20629376858
"77",77,"GBK",728.8313864724,4658.72653557111
"78",78,"SNE",-8.67945716238288,4155.33529722802
"79",79,"GBK",739.174350308878,4655.7235874579
"80",80,"SNE",119.180600308882,4389.89650412457
"81",81,"GBK",574.293319607124,4481.27238131755
"82",82,"SNE",49.7690221377899,4238.04244807737
"83",83,"WGOM",461.121542337865,4752.54179397964
"84",84,"SNE",83.5824119030843,4286.87222876225
"85",85,"SNE",331.806790785072,4527.54055174362
"86",86,"GBK",522.324647927927,4549.78162317219
"87",87,"GBK",660.669774763707,4674.32960381304
"88",88,"SNE",107.326544261684,4448.6530675464
"89",89,"SNE",339.375297278578,4535.43665563972
"90",90,"GBK",532.885872417723,4566.00993949872
"91",91,"SNE",104.519886023167,4494.51198031505
"92",92,"SNE",234.916711419993,4505.34372634679
"93",93,"WGOM",443.358753462033,4849.38997259304
"94",94,"SNE",-67.3532232205303,4127.90189628143
"95",95,"WGOM",603.585087488365,4758.87022207327
"96",96,"WGOM",492.701095804375,4539.36294556601
"97",97,"EGOM",500.18548536635,4859.8496650441
"98",98,"WGOM",478.253219356499,4682.55007555314
"99",99,"WGOM",444.375297278577,4573.81847382154
"100",100,"WGOM",431.393634496914,4431.79329899637
"101",101,"SNE",361.583181429825,4447.99820028976
"102",102,"SNE",102.566711419993,4369.19002264309
"103",103,"SNE",406.251977120474,4500.58527224051
"104",104,"WGOM",530.725849530063,4760.12399633641
"105",105,"WGOM",561.340735444014,4719.34492754799
"106",106,"SNE",98.1565807010384,4350.81366098732
"107",107,"SNE",-9.79713193155567,4285.52532926118
"108",108,"WGOM",540.410728514007,4696.00697421003
"109",109,"EGOM",621.054318257596,4903.35483745788
"110",110,"WGOM",502.597266975546,4556.98817079123
"111",111,"SNE",-77.1176320143508,4169.96190816497
"112",112,"SNE",9.5556003088815,4317.98817079124
"113",113,"WGOM",498.780005070784,4488.66555174362
"114",114,"SNE",411.753219356499,4511.05840888648
"115",115,"WGOM",467.689376120089,4550.3344834756
"116",116,"GBK",742.583978687256,4630.08366628673
"117",117,"WGOM",432.382970339461,4692.91538791662
