Year,Month,Value
1962,Apr,0.077
1963,Apr,0.093
1964,Apr,-0.157
1965,Apr,-0.108
1966,Apr,0.032
1967,Apr,-0.027
1968,Apr,-0.168
1969,Apr,0.136
1970,Apr,0.007
1971,Apr,-0.426
1972,Apr,-0.339
1973,Apr,-0.277
1974,Apr,-0.536
1975,Apr,-0.358
1976,Apr,-0.439
1977,Apr,-0.23
1978,Apr,-0.208
1979,Apr,-0.25
1980,Apr,-0.013
1981,Apr,-0.103
1982,Apr,-0.19
1983,Apr,0.051
1984,Apr,-0.165
1985,Apr,-0.409
1986,Apr,-0.333
1987,Apr,0.02
1988,Apr,0.04
1989,Apr,-0.302
1990,Apr,-0.131
1991,Apr,-0.147
1992,Apr,-0.199
1993,Apr,-0.189
1994,Apr,-0.217
1995,Apr,0.058
1996,Apr,-0.008
1997,Apr,-0.011
1998,Apr,0.273
1999,Apr,0.033
2000,Apr,0.023
2001,Apr,-0.031
2002,Apr,0.008
2003,Apr,0.06
2004,Apr,0.089
2005,Apr,0.272
2006,Apr,0.177
2007,Apr,0.139
2008,Apr,0.022
2009,Apr,-0.151
2010,Apr,0.405
2011,Apr,0.071
2012,Apr,0.059
2013,Apr,0.115
2014,Apr,-0.116
2015,Apr,-0.093
2016,Apr,0.155
2017,Apr,0.26
2018,Apr,0.041
2019,Apr,0.101
2020,Apr,0.347
2021,Apr,0.054
2022,Apr,0.11
2023,Apr,-99.99
1948,May,-0.01
1949,May,-0.03
1950,May,-0.065
1951,May,0.166
1952,May,0.174
1953,May,0.335
1954,May,0.062
1955,May,0.169
1956,May,-0.066
1957,May,-0.129
1958,May,0.193
1959,May,-0.002
1960,May,0.293
1961,May,0.184
1962,May,0.013
1963,May,-0.095
1964,May,0.03
1965,May,-0.11
1966,May,-0.01
1967,May,-0.199
1968,May,-0.136
1969,May,-0.002
1970,May,-0.059
1971,May,-0.339
1972,May,-0.482
1973,May,-0.182
1974,May,-0.513
1975,May,-0.401
1976,May,-0.501
1977,May,-0.183
1978,May,-0.217
1979,May,-0.13
1980,May,0.117
1981,May,-0.091
1982,May,-0.199
1983,May,-0.056
1984,May,-0.174
1985,May,-0.346
1986,May,-0.237
1987,May,0.059
1988,May,0.126
1989,May,-0.16
1990,May,-0.072
1991,May,-0.168
1992,May,-0.237
1993,May,-0.18
1994,May,-0.224
1995,May,0.254
1996,May,-0.083
1997,May,0.021
1998,May,0.365
1999,May,0.144
2000,May,0.086
2001,May,-0.028
2002,May,-0.068
2003,May,0.132
2004,May,-0.014
2005,May,0.273
2006,May,0.288
2007,May,0.091
2008,May,0.152
2009,May,-0.082
2010,May,0.439
2011,May,0.131
2012,May,0.143
2013,May,0.08
2014,May,-0.023
2015,May,0.023
2016,May,0.322
2017,May,0.292
2018,May,-0.023
2019,May,0.065
2020,May,0.243
2021,May,0.072
2022,May,0.197
2023,May,-99.99
1948,Jun,0.049
1949,Jun,-0.005
1950,Jun,-0.049
1951,Jun,0.283
1952,Jun,0.376
1953,Jun,0.268
1954,Jun,0.092
1955,Jun,0.186
1956,Jun,-0.272
1957,Jun,-0.02
1958,Jun,0.213
1959,Jun,-0.068
1960,Jun,0.31
1961,Jun,0.023
1962,Jun,-0.081
1963,Jun,-0.058
1964,Jun,-0.007
1965,Jun,-0.138
1966,Jun,-0.057
1967,Jun,-0.273
1968,Jun,-0.275
1969,Jun,0.016
1970,Jun,-0.195
1971,Jun,-0.376
1972,Jun,-0.501
1973,Jun,-0.188
1974,Jun,-0.46
1975,Jun,-0.308
1976,Jun,-0.497
1977,Jun,-0.12
1978,Jun,-0.346
1979,Jun,-0.055
1980,Jun,0.096
1981,Jun,-0.07
1982,Jun,-0.192
1983,Jun,-0.062
1984,Jun,-0.333
1985,Jun,-0.136
1986,Jun,-0.27
1987,Jun,0.194
1988,Jun,0.154
1989,Jun,0.078
1990,Jun,-0.07
1991,Jun,-0.144
1992,Jun,-0.166
1993,Jun,-0.197
1994,Jun,-0.239
1995,Jun,0.346
1996,Jun,-0.141
1997,Jun,-0.01
1998,Jun,0.471
1999,Jun,0.161
2000,Jun,-0.037
2001,Jun,0.179
2002,Jun,-0.136
2003,Jun,0.186
2004,Jun,0.158
2005,Jun,0.307
2006,Jun,0.313
2007,Jun,0.068
2008,Jun,0.236
2009,Jun,0.101
2010,Jun,0.427
2011,Jun,0.157
2012,Jun,0.279
2013,Jun,0.025
2014,Jun,0.04
2015,Jun,0.007
2016,Jun,0.387
2017,Jun,0.285
2018,Jun,-0.034
2019,Jun,0.151
2020,Jun,0.249
2021,Jun,0.139
2022,Jun,0.199
2023,Jun,-99.99
1948,Jul,-0.046
1949,Jul,0.065
1950,Jul,-0.062
1951,Jul,0.415
1952,Jul,0.366
1953,Jul,0.337
1954,Jul,-0.052
1955,Jul,0.261
1956,Jul,-0.098
1957,Jul,0.032
1958,Jul,0.156
1959,Jul,-0.041
1960,Jul,0.261
1961,Jul,-0.029
1962,Jul,-0.018
1963,Jul,-0.046
1964,Jul,-0.155
1965,Jul,-0.199
1966,Jul,-0.067
1967,Jul,-0.242
1968,Jul,-0.242
1969,Jul,0.081
1970,Jul,-0.213
1971,Jul,-0.362
1972,Jul,-0.388
1973,Jul,-0.117
1974,Jul,-0.528
1975,Jul,-0.285
1976,Jul,-0.32
1977,Jul,-0.119
1978,Jul,-0.289
1979,Jul,-0.107
1980,Jul,0.038
1981,Jul,-0.102
1982,Jul,-0.236
1983,Jul,-0.023
1984,Jul,-0.274
1985,Jul,-0.161
1986,Jul,-0.258
1987,Jul,0.27
1988,Jul,0.098
1989,Jul,0.164
1990,Jul,-0.035
1991,Jul,-0.122
1992,Jul,-0.235
1993,Jul,-0.293
1994,Jul,-0.248
1995,Jul,0.296
1996,Jul,-0.123
1997,Jul,0.042
1998,Jul,0.469
1999,Jul,0.179
2000,Jul,0.053
2001,Jul,0.116
2002,Jul,-0.085
2003,Jul,0.257
2004,Jul,0.208
2005,Jul,0.427
2006,Jul,0.354
2007,Jul,0.109
2008,Jul,0.186
2009,Jul,0.208
2010,Jul,0.429
2011,Jul,0.071
2012,Jul,0.354
2013,Jul,0.169
2014,Jul,0.2
2015,Jul,0.11
2016,Jul,0.41
2017,Jul,0.28
2018,Jul,-0.005
2019,Jul,0.329
2020,Jul,0.341
2021,Jul,0.21
2022,Jul,0.136
2023,Jul,-99.99
1948,Aug,-0.029
1949,Aug,0.096
1950,Aug,0.014
1951,Aug,0.297
1952,Aug,0.397
1953,Aug,0.251
1954,Aug,-0.022
1955,Aug,0.167
1956,Aug,-0.106
1957,Aug,0.194
1958,Aug,0.152
1959,Aug,0.003
1960,Aug,0.326
1961,Aug,0.026
1962,Aug,-0.073
1963,Aug,-0.084
1964,Aug,-0.245
1965,Aug,-0.221
1966,Aug,-0.055
1967,Aug,-0.177
1968,Aug,-0.226
1969,Aug,-0.114
1970,Aug,-0.153
1971,Aug,-0.448
1972,Aug,-0.396
1973,Aug,-0.146
1974,Aug,-0.481
1975,Aug,-0.198
1976,Aug,-0.198
1977,Aug,-0.158
1978,Aug,-0.24
1979,Aug,-0.128
1980,Aug,0.011
1981,Aug,-0.123
1982,Aug,-0.317
1983,Aug,-0.166
1984,Aug,-0.234
1985,Aug,-0.29
1986,Aug,-0.281
1987,Aug,0.27
1988,Aug,-0.02
1989,Aug,0.1
1990,Aug,0.039
1991,Aug,-0.123
1992,Aug,-0.396
1993,Aug,-0.245
1994,Aug,-0.252
1995,Aug,0.165
1996,Aug,-0.026
1997,Aug,-0.003
1998,Aug,0.494
1999,Aug,0.288
2000,Aug,0.084
2001,Aug,0.158
2002,Aug,0.087
2003,Aug,0.396
2004,Aug,0.297
2005,Aug,0.42
2006,Aug,0.381
2007,Aug,0.035
2008,Aug,0.155
2009,Aug,0.132
2010,Aug,0.505
2011,Aug,0.126
2012,Aug,0.41
2013,Aug,0.173
2014,Aug,0.313
2015,Aug,0.156
2016,Aug,0.434
2017,Aug,0.287
2018,Aug,0.09
2019,Aug,0.315
2020,Aug,0.425
2021,Aug,0.245
2022,Aug,0.358
2023,Aug,-99.99
1948,Sep,-0.059
1949,Sep,0.064
1950,Sep,0.003
1951,Sep,0.243
1952,Sep,0.355
1953,Sep,0.273
1954,Sep,-0.018
1955,Sep,0.195
1956,Sep,-0.097
1957,Sep,0.213
1958,Sep,0.204
1959,Sep,0.116
1960,Sep,0.201
1961,Sep,-0.007
1962,Sep,-0.006
1963,Sep,-0.213
1964,Sep,-0.231
1965,Sep,-0.233
1966,Sep,-0.012
1967,Sep,-0.109
1968,Sep,-0.162
1969,Sep,-0.12
1970,Sep,-0.151
1971,Sep,-0.379
1972,Sep,-0.316
1973,Sep,-0.144
1974,Sep,-0.519
1975,Sep,-0.349
1976,Sep,-0.206
1977,Sep,-0.245
1978,Sep,-0.203
1979,Sep,-0.122
1980,Sep,-0.02
1981,Sep,-0.044
1982,Sep,-0.315
1983,Sep,-0.224
1984,Sep,-0.217
1985,Sep,-0.256
1986,Sep,-0.229
1987,Sep,0.185
1988,Sep,-0.107
1989,Sep,-0.108
1990,Sep,0.133
1991,Sep,-0.052
1992,Sep,-0.385
1993,Sep,-0.181
1994,Sep,-0.169
1995,Sep,0.036
1996,Sep,-0.02
1997,Sep,0.091
1998,Sep,0.394
1999,Sep,0.166
2000,Sep,0.083
2001,Sep,0.267
2002,Sep,0.06
2003,Sep,0.432
2004,Sep,0.221
2005,Sep,0.399
2006,Sep,0.344
2007,Sep,0.078
2008,Sep,0.178
2009,Sep,0.037
2010,Sep,0.428
2011,Sep,0.123
2012,Sep,0.427
2013,Sep,0.233
2014,Sep,0.288
2015,Sep,0.278
2016,Sep,0.435
2017,Sep,0.328
